rank,website,1st,Amazon,Apple,Github,Google,Facebook,LinkedIn,Microsoft,Twitter,Yahoo
1000,https://www.flashscore.fr,0,0,0,0,0,0,0,0,0,0
1000,https://ijavhd.com,0,0,0,0,0,0,0,0,0,0
1000,https://haysex.net,0,0,0,0,0,0,0,0,0,0
1000,https://detail.chiebukuro.yahoo.co.jp,0,0,0,0,0,0,0,0,0,0
1000,https://www.kukuc.co,0,0,0,0,0,0,0,0,0,0
1000,https://www.msn.com,1,0,0,0,0,0,0,0,0,0
1000,https://fandomwire.com,0,0,0,0,0,0,0,0,0,0
1000,https://www.imdb.com,0,1,1,0,1,0,0,0,0,0
1000,https://www.leboncoin.fr,0,0,0,0,0,0,0,0,0,0
1000,https://www.bbc.co.uk,0,0,0,0,0,0,0,0,0,0
1000,https://coffeemanga.io,0,0,0,0,0,0,0,0,0,0
1000,https://xhamster3.com,0,0,0,0,0,0,0,0,0,0
1000,https://www.google.fr,0,0,0,0,0,0,0,0,0,0
1000,https://moviesda3.me,0,0,0,0,0,0,0,0,0,0
1000,https://www.aparat.com,0,0,0,0,0,0,0,0,0,0
1000,https://tmohentai.com,0,0,0,0,0,0,0,0,0,0
1000,https://wapbold.com,0,0,0,0,0,0,0,0,0,0
1000,https://zoom.us,1,0,0,0,0,0,0,0,0,0
1000,https://es.wikipedia.org,0,0,0,0,0,0,0,0,0,0
1000,https://www.iltalehti.fi,0,0,0,0,0,0,0,0,0,0
1000,https://srd.sassa.gov.za,0,0,0,0,0,0,0,0,0,0
1000,https://www.argentina.gob.ar,0,0,0,0,0,0,0,0,0,0
1000,https://examinationservices.nic.in,0,0,0,0,0,0,0,0,0,0
1000,https://www.ad.nl,0,0,0,0,0,0,0,0,0,0
1000,https://th.spankbang.com,0,0,0,0,0,0,0,0,0,0
1000,https://www.otvfoco.com.br,0,0,0,0,0,0,0,0,0,0
1000,https://www.pornhat.one,0,0,0,0,0,0,0,0,0,0
1000,https://www.argos.co.uk,0,0,0,0,0,0,0,0,0,0
1000,https://www.thscore.mobi,0,0,0,0,0,0,0,0,0,0
1000,https://www.credit-agricole.fr,0,0,0,0,0,0,0,0,0,0
1000,https://member.sss.gov.ph,1,0,0,0,0,0,0,0,0,0
1000,https://game.granbluefantasy.jp,0,0,0,0,0,0,0,0,0,0
1000,https://link.coupang.com,0,0,0,0,0,0,0,0,0,0
1000,https://m.magazineluiza.com.br,0,0,0,0,0,0,0,0,0,0
1000,https://www.ozon.ru,0,0,0,0,0,0,0,0,0,0
1000,https://www.wordreference.com,0,0,0,0,0,0,0,0,0,0
1000,https://cookpad.com,0,0,0,0,0,0,0,0,0,0
1000,https://g1.globo.com,0,0,0,0,0,0,0,0,0,0
1000,https://gimy.app,0,0,0,0,0,0,0,0,0,0
1000,https://www.haberler.com,0,0,0,0,0,0,0,0,0,0
1000,https://www.yahoo.co.jp,0,0,0,0,0,0,0,0,0,0
1000,https://mangalivre.net,0,0,0,0,0,0,0,0,0,0
1000,https://www.macys.com,0,0,0,0,0,0,0,0,0,0
1000,https://www.naver.com,0,0,0,0,0,0,0,0,0,0
1000,https://pbskids.org,0,0,0,0,0,0,0,0,0,0
1000,https://finance.naver.com,0,0,0,0,0,0,0,0,0,0
1000,https://www3.animeflv.net,0,0,0,0,0,0,0,0,0,0
1000,https://www.cmoa.jp,0,0,0,0,0,0,0,0,0,0
1000,https://pubmed.ncbi.nlm.nih.gov,0,0,0,0,0,0,0,0,0,0
1000,https://kibho.in,1,0,0,0,0,0,0,0,0,0
1000,https://sso.acesso.gov.br,0,0,0,0,0,0,0,0,0,0
1000,https://in.pinterest.com,1,0,0,0,1,1,0,0,0,0
1000,https://www2.hm.com,1,0,0,0,0,0,0,0,0,0
1000,https://www.staseraintv.com,0,0,0,0,0,0,0,0,0,0
1000,https://www.sondakika.com,0,0,0,0,0,0,0,0,0,0
1000,https://www.jutarnji.hr,0,0,0,0,0,0,0,0,0,0
1000,https://mangabuddy.com,0,0,0,0,0,0,0,0,0,0
1000,https://schools.kundalik.com,0,0,0,0,0,0,0,0,0,0
1000,https://www.nike.com,0,0,0,0,0,0,0,0,0,0
1000,https://esaj.tjsp.jus.br,0,0,0,0,0,0,0,0,0,0
1000,https://www.imagefap.com,0,0,0,0,0,0,0,0,0,0
1000,https://www.extra.cz,0,0,0,0,0,0,0,0,0,0
1000,https://www.milanuncios.com,0,0,0,0,0,0,0,0,0,0
1000,https://satta-king-fast.com,0,0,0,0,0,0,0,0,0,0
1000,https://www.sport.es,0,0,0,0,0,0,0,0,0,0
1000,https://www.onet.pl,0,0,0,0,0,0,0,0,0,0
1000,https://www.curseforge.com,0,0,0,0,1,0,0,0,0,0
1000,https://www.delgarm.com,0,0,0,0,0,0,0,0,0,0
1000,https://www.google.com.hk,0,0,0,0,0,0,0,0,0,0
1000,https://www.rokna.net,0,0,0,0,0,0,0,0,0,0
1000,https://www.codashop.com,0,0,0,0,0,0,0,0,0,0
1000,https://www.yahoo.com,0,0,0,0,0,0,0,0,0,0
1000,https://www.almasryalyoum.com,0,0,0,0,0,0,0,0,0,0
1000,https://fr.pornhub.com,0,0,0,0,0,0,0,0,0,0
1000,https://ecnavi.jp,0,0,0,0,0,0,0,0,0,0
1000,https://www.ebay.co.uk,0,0,1,0,1,1,0,0,0,0
1000,https://www.freepik.com,0,0,1,0,1,0,0,0,0,0
1000,https://dantri.com.vn,0,0,0,0,0,0,0,0,0,0
1000,https://www.makemytrip.com,1,0,0,0,1,0,0,0,0,0
1000,https://www.google.com.br,0,0,0,0,0,0,0,0,0,0
1000,https://unifiedportal-mem.epfindia.gov.in,1,0,0,0,0,0,0,0,0,0
1000,https://bbs.animanch.com,0,0,0,0,0,0,0,0,0,0
1000,https://www.betway.co.zm,0,0,0,0,0,0,0,0,0,0
1000,https://manganato.com,1,0,0,0,0,0,0,0,0,0
1000,https://www.redfin.com,0,0,1,0,1,1,0,0,0,0
1000,https://open.spotify.com,1,0,1,0,1,1,0,0,0,0
1000,https://ww1.ibomma.pm,0,0,0,0,0,0,0,0,0,0
1000,https://www.bilibili.com,0,0,0,0,0,0,0,0,0,0
1000,https://www.annunci69.it,0,0,0,0,0,0,0,0,0,0
1000,https://www.google.com.tw,0,0,0,0,0,0,0,0,0,0
1000,https://www.bt.dk,0,0,0,0,0,0,0,0,0,0
,,10,1,5,0,8,4,0,0,0,0
